a	ə
a	ˈeɪ
a's	ˈeɪz
a.	ˈeɪ
a.'s	ˈeɪz
a.s	ˈeɪz
a42128	ˈeɪ.ˈfɔɹ.ˈtu.ˈwən.ˈtu.ˈeɪt
aaa	ˌtɹɪ.pə.ˈleɪ
aaberg	ˈɑ.bəɹg
aachen	ˈɑ.kən
aachener	ˈɑ.kə.nəɹ
aaker	ˈɑ.kəɹ
aalseth	ˈɑl.sɛθ
aamodt	ˈɑ.mət
aancor	ˈɑn.ˌkɔɹ
aardema	ɑɹ.ˈdɛ.mə
aardvark	ˈɑɹd.ˌvɑɹk
aaron	ˈɛ.ɹən
aaron's	ˈɛ.ɹənz
aarons	ˈɛ.ɹənz
aaronson	ˈɛ.ɹən.sən
aaronson	ˈɑ.ɹən.sən
aaronson's	ˈɛ.ɹən.sənz
aaronson's	ˈɑ.ɹən.sənz
aarti	ˈɑɹ.ˌti
aase	ˈɑs
aasen	ˈɑ.sən
ab	ˈæb
ab	ˈeɪ.ˈbi
ababa	ə.ˈbɑ.bə
ababa	ˈɑ.bə.bə
abacha	ˈæ.bə.kə
aback	ə.ˈbæk
abaco	ˈæ.bə.ˌkoʊ
abacus	ˈæ.bə.kəs
abad	ə.ˈbɑd
abadaka	ə.ˈbæ.də.kə
abadi	ə.ˈbæ.di
abadie	ə.ˈbæ.di
abair	ə.ˈbɛɹ
abalkin	ə.ˈbɑl.kɪn
abalone	ˌæ.bə.ˈloʊ.ni
abalos	ɑ.ˈbɑ.loʊz
abandon	ə.ˈbæn.dən
abandoned	ə.ˈbæn.dənd
abandoning	ə.ˈbæn.də.nɪŋ
abandonment	ə.ˈbæn.dən.mənt
abandonments	ə.ˈbæn.dən.mənts
abandons	ə.ˈbæn.dənz
abanto	ə.ˈbæn.toʊ
abarca	ə.ˈbɑɹ.kə
abare	ɑ.ˈbɑ.ɹi
abascal	ˈæ.bə.skəl
abash	ə.ˈbæʃ
abashed	ə.ˈbæʃt
abasia	ə.ˈbeɪʒ.jə
abate	ə.ˈbeɪt
abated	ə.ˈbeɪ.tɪd
abatement	ə.ˈbeɪt.mənt
abatements	ə.ˈbeɪt.mənts
abates	ə.ˈbeɪts
abating	ə.ˈbeɪ.tɪŋ
abba	ˈæ.bə
abbado	ə.ˈbɑ.doʊ
abbas	ə.ˈbɑs
abbasi	ɑ.ˈbɑ.si
abbate	ˈɑ.beɪt
abbatiello	ɑ.bɑ.ti.ˈɛ.loʊ
abbe	ˈæ.bi
abbe	æ.ˈbeɪ
abbenhaus	ˈæ.bən.ˌhaʊs
abbett	ə.ˈbɛt
abbeville	ˈæb.vɪl
abbey	ˈæ.bi
abbey's	ˈæ.biz
abbie	ˈæ.bi
abbitt	ˈæ.bɪt
abbot	ˈæ.bət
abbotstown	ˈæ.bət.ˈstaʊn
abbott	ˈæ.bət
abbott's	ˈæ.bəts
abbottstown	ˈæ.bət.ˈstaʊn
abboud	ə.ˈbud
abboud	ə.ˈbaʊd
abbreviate	ə.ˈbɹi.vi.ˌeɪt
abbreviated	ə.ˈbɹi.vi.ˌeɪ.təd
